game_name	relise_year	func_name
The Far Rings: A Space Opera Visual Novella	2019	_RenPy
Written in the Sky	2015	_RenPy
7 дней лета: Youth Sky	2020	_RenPy
Cirno's Perfect Summer Vacation	2020	_RenPy
The Witch in the Forest	2020	_RenPy
Sakura Knight	2020	_RenPy
No One But You	2016	_RenPy
My Heart Grows Fonder	2019	_RenPy
LINGERING	2020	_RenPy
Azurea Juncture	2016	_RenPy
Manna for our Malices	2019	_RenPy
Commander Babes	2019	_RenPy
Succubus Research Diary	2021	_RenPy
Les 4 Alice: Lorange Journey	2018	_RenPy
Joyo Kanji Quiz - 常用漢字	2018	_RenPy
Hand of Horzasha	2019	_RenPy
4 Alice Magical Autistic Girls	2021	_RenPy
I Told You So!	2021	_RenPy
Big Cat from Hell	2021	_RenPy
Alice in Stardom	2019	_RenPy
Aozora Meikyuu	2016	_RenPy
</reality>	2017	_RenPy
安堂的心理咨询室：杯中之心	2020	_RenPy
Magi Trials	2016	_RenPy
Within a Rose	2017	_RenPy
Hadaka Shitsuji - Naked Butlers	2019	_RenPy
Oakwood Academy of Spells and Sorcery	2018	_RenPy
My Furry Dictator	2021	_RenPy
Over The Phone	2021	_RenPy
Embers of Magic	2017	_RenPy
The Wilting Amaranth	2018	_RenPy
For the People	2020	_RenPy
Himeko Maid	2020	_RenPy
Vampire Slave 1	2021	_RenPy
Tokyo Re:Connect Prologue	2020	_RenPy
Love Duction! The Guide for Galactic Lovers	2021	_RenPy
Diamond Mirage	2021	_RenPy
Ruby Heart	2020	_RenPy
Distress: A Choice-Driven Sci-Fi Adventure	2018	_RenPy
Super Taco Crew	2021	_RenPy
Club Life	2016	_RenPy
Dreams of Desire: Definitive Edition	2021	_RenPy
Break Chance Memento	2016	_RenPy
Коридоры их воспоминаний	2020	_RenPy
Drinks With Abbey	2019	_RenPy
The End of an Actress	2020	_RenPy
Lynne	2018	_RenPy
Time Tenshi 2	2016	_RenPy
Hentai Zodiac Puzzle 2	2019	_RenPy
Sixtieth Kilometer	2016	_RenPy
Let`s not stay friends	2017	_RenPy
Aisu Paradise	2019	_RenPy
Bloody Chronicles - New Cycle of Death	2019	_RenPy
My Goddess of Love	2020	_RenPy
Gwan Moon High School : The Ghost Gate	2021	_RenPy
USAGIRI	2019	_RenPy
Pinewood Island	2017	_RenPy
Serment - Contract with a Devil	2019	_RenPy
Lily's Handmaid	2020	_RenPy
A Foretold Affair	2017	_RenPy
仙境之夜：白兔奇幻记	2020	_RenPy
Once Upon an All Hallow's Eve	2017	_RenPy
Six Days of Snow	2017	_RenPy
OMNIMUS	2019	_RenPy
Icebound	2015	_RenPy
Novena Diabolos	2021	_RenPy
Trouble Hunter Chronicles: The Stolen Creed	2021	_RenPy
The Nine Lives of Nim: Fortune's Fool	2019	_RenPy
Up All Night	2021	_RenPy
Ayoub	2020	_RenPy
Sakura Space	2016	_RenPy
miraclr - Divine Dating Sim	2018	_RenPy
Maelstrom: A Yaoi Visual Novel	2021	_RenPy
Lovefield General: Back to Work	2018	_RenPy
1 For Yes, 0 For No	2020	_RenPy
MILFs of Sunville	2021	_RenPy
Picture Perfect	2021	_RenPy
A Warmer Shade of Summer	2021	_RenPy
Tyrania - A Kinetic Visual Novel	2020	_RenPy
Lighthouse of guiding flames	2019	_RenPy
My Lady	2016	_RenPy
Crossroad	2018	_RenPy
Negligee: Spring Clean Prelude	2021	_RenPy
Santa Girls	2019	_RenPy
Queen At Arms	2016	_RenPy
My Dear Prince	2021	_RenPy
Traurig Secrets: Prologue	2020	_RenPy
Starlight Shores	2021	_RenPy
Loving You Fully	2021	_RenPy
Ambre - a heartbreaking kinetic novel	2017	_RenPy
С любовью из царства ночи	2021	_RenPy
Magebuster: Amorous Augury	2019	_RenPy
Hikari! Love Potion	2019	_RenPy
GACHIMUCHI M♂NLY PUZZLE	2018	_RenPy
Wild Romance: Mofu Mofu Edition	2017	_RenPy
Lewd Girls, Leave Me Alone! I Just Want to Play Video Games and Watch Anime! Hentai Edition	2021	_RenPy
Dysfunctional Systems: Learning to Manage Chaos	2013	_RenPy
Paths Taken	2019	_RenPy
Stealing a Monster Girl Harem	2021	_RenPy
His Chuunibyou Cannot Be Cured!	2018	_RenPy
Aspiring Light	2021	_RenPy
BAPTISM	2017	_RenPy
Memories of East Coast	2021	_RenPy
Harem Girl: Alicia	2020	_RenPy
Avalon	2021	_RenPy
Real Life Plus Ver. Kaname Komatsuzaki	2020	_RenPy
On Earth As It Is In Heaven - A Kinetic Novel	2017	_RenPy
My Stepmom is a Futanari 3	2021	_RenPy
Sakura Beach 2	2015	_RenPy
Together - A Wish No One Remembers	2020	_RenPy
Twisted: A Dark Fairytale	2020	_RenPy
Spare Parts: Episode 2	2021	_RenPy
Yousei	2018	_RenPy
Redeliver	2021	_RenPy
Hard Work	2018	_RenPy
Quantum Suicide	2020	_RenPy
Sexorcist Academy	2021	_RenPy
Sanguine Rose	2020	_RenPy
Weeping Willow	2019	_RenPy
Whispering Flames	2018	_RenPy
Blind Men	2017	_RenPy
Instinct	2018	_RenPy
Heads Will Roll	2021	_RenPy
School For The Friendless	2021	_RenPy
Island of Lust	2021	_RenPy
Furry Shakespeare: To Date Or Not To Date Cat Girls?	2019	_RenPy
Embraced By Autumn	2021	_RenPy
the earth is a better person than me	2018	_RenPy
Paper Shakespeare: To Date Or Not To Date?	2018	_RenPy
CamGirls: Sophie X Rias	2021	_RenPy
Jisei	2018	_RenPy
Beth the Exhibitionist	2021	_RenPy
Dysfunctional Systems: Orientation	2017	_RenPy
Summer with Mia Season 1	2021	_RenPy
Gender Bender DNA Twister Extreme	2015	_RenPy
我的公司996	2020	_RenPy
Planet Stronghold: Colonial Defense	2016	_RenPy
Without Romance	2020	_RenPy
What Makes Us Special	2020	_RenPy
Электричка	2020	_RenPy
Sakura Shrine Girls	2016	_RenPy
Femboy Besties	2021	_RenPy
Blood Code	2015	_RenPy
Harem Girl: Isabella	2020	_RenPy
Cafe Crush	2019	_RenPy
Alexa's Wild Night	2017	_RenPy
Sakura Knight 2	2020	_RenPy
The Indie Mixtape	2015	_RenPy
AKER FERN	2020	_RenPy
Cookie Store	2020	_RenPy
Wildfire - Ticket to Rock	2021	_RenPy
Cat’s Princess - Visual novel / Otome	2021	_RenPy
Clean Slate	2021	_RenPy
Adapted Adventures: Crystal Cave	2021	_RenPy
Mystery at Stonyford Bridge	2019	_RenPy
VKT Prime System Crash	2019	_RenPy
To the Max	2021	_RenPy
Primate Signal	2020	_RenPy
Always The Same Blue Sky...	2015	_RenPy
Tales of Aravorn: Seasons Of The Wolf	2015	_RenPy
Your Royal Gayness	2018	_RenPy
Nowhere Girl	2018	_RenPy
Sakura Forest Girls 2	2021	_RenPy
The Edge Of	2021	_RenPy
The Anomaly	2018	_RenPy
Every Day's Different	2020	_RenPy
Eldritch Academy	2019	_RenPy
Lilith Was Dead	2021	_RenPy
The Game For Skippers	2021	_RenPy
Never give up!	2016	_RenPy
Red Falls Season 1	2021	_RenPy
Deep Lake: Prologue	2021	_RenPy
Furry Shakespeare: Dashing Dinosaurs & Sexy Centaurs: Winter's Tale	2019	_RenPy
My Furry Neighbour	2021	_RenPy
My Yandere Sister loves me too much!	2020	_RenPy
Neighboring Islands	2017	_RenPy
Walkerman	2017	_RenPy
Asphyxia	2015	_RenPy
Hack the Core	2018	_RenPy
Edge of Reality	2020	_RenPy
Rising Angels: Hope	2016	_RenPy
Steamy Sextet	2020	_RenPy
Genderbend Me! Sayonara Demon Dong	2021	_RenPy
Just Deserts	2016	_RenPy
Legends of Talia: Arcadia	2017	_RenPy
Games&Girls	2017	_RenPy
Femboys of the Phalanx	2021	_RenPy
Innocence Or Money - Prelude	2021	_RenPy
Shan Gui	2014	_RenPy
Catgirl & Doggirl Cafe	2019	_RenPy
This World Unknown	2016	_RenPy
AIdol	2018	_RenPy
Twists of My Life	2019	_RenPy
Sword of Asumi	2015	_RenPy
XOXO Droplets	2017	_RenPy
My Cute Roommate	2020	_RenPy
Volleyball Heaven	2020	_RenPy
Tails & Titties Hot Spring	2021	_RenPy
A Sun Of Salt	2018	_RenPy
FEAST: Book One «Family Ties»	2018	_RenPy
Sakura Agent	2017	_RenPy
Sakura Knight 3	2020	_RenPy
Pairs	2017	_RenPy
