game_name	relise_year	func_name
失落之白 Eternal Liiivie EP1, 與世隔絕的白族	2020	_RPGMaker
ENIGMA : An Illusion Named Family	2015	_RPGMaker
De:Void	2020	_RPGMaker
Lonely in the Winter	2018	_RPGMaker
SINNERS	2019	_RPGMaker
The Legion of Maelstrom	2021	_RPGMaker
The Sea Between	2018	_RPGMaker
Gurobu	2020	_RPGMaker
The Adventures of Crackhead Jack: Overdose Edition	2020	_RPGMaker
Red Haze	2017	_RPGMaker
涨粉二维码	2021	_RPGMaker
女巫与六便士 the sibyl and sixpence	2018	_RPGMaker
Astoria: The Holders of Power Saga	2017	_RPGMaker
Last Dream	2014	_RPGMaker
百合籠	2021	_RPGMaker
The Deal	2017	_RPGMaker
Super gamebear with its three girlfriends你想知道关于超级喜欢游戏的一头黑色矮小的游戏熊是如何与它的“三个后宫团女朋友”购买到GBC游戏机的吗？	2019	_RPGMaker
Ark of Artemis	2021	_RPGMaker
Metallic Metronome	2020	_RPGMaker
Deported 2: Build That Wall	2018	_RPGMaker
Legend of Cenama	2019	_RPGMaker
Thorne - Son of Slaves (Ep.2)	2016	_RPGMaker
Shivering Hearts	2020	_RPGMaker
The Pale City	2020	_RPGMaker
BlackSimulator	2018	_RPGMaker
Future Proof	2018	_RPGMaker
Bubbaruka!	2021	_RPGMaker
Wait - Extended	2015	_RPGMaker
Wormskull	2020	_RPGMaker
魔塔2018	2018	_RPGMaker
Sojourner	2017	_RPGMaker
Recruit One	2020	_RPGMaker
Rise of SamuraizerzZz	2020	_RPGMaker
Nusakana	2015	_RPGMaker
PUT ANNA	2018	_RPGMaker
阿比斯的宝藏 - Treasure of abyss	2018	_RPGMaker
RaiOhGar: Asuka and the King of Steel	2020	_RPGMaker
最后的守护者之虚幻的梦	2021	_RPGMaker
Trap welcome to Beryl	2018	_RPGMaker
To Light: Ex Umbra	2019	_RPGMaker
The Harrowed	2020	_RPGMaker
Angel Made	2021	_RPGMaker
Lost Remnant: Roaches to Riches	2020	_RPGMaker
Yet Another Hero Legend	2019	_RPGMaker
ALONE	2021	_RPGMaker
The Deed II	2020	_RPGMaker
Celestial Hearts	2021	_RPGMaker
Who Stole My Beard?	2021	_RPGMaker
Sarab: Duji Tower	2016	_RPGMaker
The Dragons' Twilight II	2019	_RPGMaker
Thorne - Death Merchants	2016	_RPGMaker
Snares of Ruin	2018	_RPGMaker
Deported: Drain the Swamp	2018	_RPGMaker
Legionwood: Tale of the Two Swords	2016	_RPGMaker
パラディンリアス	2020	_RPGMaker
Girlfriend Rescue	2015	_RPGMaker
The Monsters' History Book 怪物的历史书	2018	_RPGMaker
Venaitura	2021	_RPGMaker
Dark Blood Chronicles	2017	_RPGMaker
Crimson Shift	2018	_RPGMaker
Lantern of Worlds - The Story of Layla	2019	_RPGMaker
Death and Progress	2019	_RPGMaker
Dying Flame	2021	_RPGMaker
Fifefer Island	2021	_RPGMaker
Witch Loraine's Death Game	2019	_RPGMaker
The Hunt - Rebuilt	2017	_RPGMaker
Axial Disc 1	2021	_RPGMaker
无眠夜曲	2021	_RPGMaker
恋爱总动员	2019	_RPGMaker
Naked Story	2019	_RPGMaker
猎魔者战纪	2019	_RPGMaker
Last Word	2015	_RPGMaker
Sydney's World	2016	_RPGMaker
皓月空华	2019	_RPGMaker
My Military Life	2021	_RPGMaker
Memories of a Vagabond	2014	_RPGMaker
Strangers of the Power 2	2018	_RPGMaker
Knight Eternal	2019	_RPGMaker
红魔事件簿 The Note of Red Evil	2020	_RPGMaker
Slimes	2020	_RPGMaker
Shera and the Three Treasures	2019	_RPGMaker
Cursed Mansion	2021	_RPGMaker
Nox Dei	2017	_RPGMaker
The Adventure of Magical Girl	2018	_RPGMaker
幻想异乡曲 Butterfly~Rin	2019	_RPGMaker
只是一座楼	2021	_RPGMaker
The Great Gaias	2018	_RPGMaker
Hero Allstars: Void Invasion	2020	_RPGMaker
Kunoichi Botan	2019	_RPGMaker
Lucie	2018	_RPGMaker
Singularity: Tactics Arena	2019	_RPGMaker
Cyberpunk Fighting	2021	_RPGMaker
Reimu's Weird little advanture	2020	_RPGMaker
NALOGI	2018	_RPGMaker
RPG Maker VX	2016	_RPGMaker
World's Dawn	2016	_RPGMaker
Loser Reborn	2019	_RPGMaker
Waterside Chirping 水畔空蝉	2018	_RPGMaker
Case 02: Paranormal Evil	2021	_RPGMaker
Ayumi: Enhanced Edition	2016	_RPGMaker
Rage Quest: The Worst Game	2018	_RPGMaker
Drumpf 2: Lost, But Not Forgotten!	2019	_RPGMaker
Chaos Drift	2017	_RPGMaker
Sur	2021	_RPGMaker
魔法与高塔	2021	_RPGMaker
The Bounty: Deluxe Edition	2018	_RPGMaker
Geezer Gus: The Meteorite Motel	2020	_RPGMaker
Terrible Laboratory	2019	_RPGMaker
Beyond Reality	2016	_RPGMaker
7th Deep	2018	_RPGMaker
The Bunker 69	2019	_RPGMaker
Trials of Guinevere	2019	_RPGMaker
Em-A-Zurvival	2020	_RPGMaker
Dungeon Dreams (Female Protagonist)	2019	_RPGMaker
199X	2015	_RPGMaker
Nyanco Project	2019	_RPGMaker
Witch of Ice Kingdom II	2017	_RPGMaker
All Over	2020	_RPGMaker
The Stonks Market	2021	_RPGMaker
Demonheart: Hunters	2020	_RPGMaker
Dead Dreams	2020	_RPGMaker
Ashes of the Night	2019	_RPGMaker
Seed of Evil	2018	_RPGMaker
通向地狱	2021	_RPGMaker
Tale's Casino Escape	2019	_RPGMaker
Tales of Winds: Tomb of the Sol Empire	2017	_RPGMaker
Aimi	2020	_RPGMaker
魔塔地牢	2021	_RPGMaker
Black Dream	2018	_RPGMaker
ESCAPE Room: Reality	2017	_RPGMaker
Rave Heart	2020	_RPGMaker
Snares of Ruin Zero	2018	_RPGMaker
Aurora - Cores Ocultas	2021	_RPGMaker
Shattered Hourglass	2020	_RPGMaker
Novas Las Aventurietas del Robercleiton o Renascimento do TURBO	2018	_RPGMaker
Rakuen Original Soundtrack	2017	_RPGMaker
Holy Knight Luviria	2019	_RPGMaker
Undefeated	2015	_RPGMaker
Wooden Ocean	2020	_RPGMaker
Carrier Trail	2020	_RPGMaker
莉莉娜的奇幻之旅	2020	_RPGMaker
Azurael's Circle: Chapter 1	2018	_RPGMaker
Millennium 3 - Cry Wolf	2014	_RPGMaker
Dawn's Light	2016	_RPGMaker
Students' horrible stories FIN	2021	_RPGMaker
Major\Minor	2015	_RPGMaker
Empire	2018	_RPGMaker
NashBored	2019	_RPGMaker
Asguaard	2015	_RPGMaker
The trial of witch	2018	_RPGMaker
Kilcount	2018	_RPGMaker
Lilly and Sasha: Curse of the Immortals	2015	_RPGMaker
The Amber Throne	2015	_RPGMaker
KóterGame	2018	_RPGMaker
Team Four Star RPG	2017	_RPGMaker
異星病毒Alien virus	2021	_RPGMaker
Deadly Sin 2	2014	_RPGMaker
Ritual on the Eve 前夜祭	2018	_RPGMaker
Soaring Machinariae	2021	_RPGMaker
Exatron Quest	2017	_RPGMaker
Game Master Plus	2019	_RPGMaker
Time of the Moon	2019	_RPGMaker
Tales of Komori: Prologue	2021	_RPGMaker
Born Tubi Wild	2017	_RPGMaker
R E A L I T Y	2020	_RPGMaker
Pumpkin Farmer	2020	_RPGMaker
告死天使之言 - Death angel	2019	_RPGMaker
